x,y
-9.31226,38.93187
-9.31203,38.93188
-9.31121,38.93178
-9.3122,38.93238
-9.31161,38.93406
-9.31168,38.93453
-9.31147,38.9344
-9.31096,38.93478
-9.31196,38.93523
-9.31187,38.93529
-9.31126,38.93517
-9.31115,38.93503
-9.31036,38.93049
-9.30965,38.93043
-9.3107,38.93107
-9.31031,38.93129
-9.30962,38.93135
-9.3107,38.93172
-9.31028,38.93194
-9.30986,38.93184
-9.31058,38.93224
-9.31025,38.93356
-9.31069,38.93397
-9.31066,38.93411
-9.30971,38.93378
-9.30981,38.93389
-9.30945,38.9329
-9.31065,38.93432
-9.31045,38.93495
-9.30796,38.93532
-9.30406,38.92485
-9.30519,38.92535
-8.1342,37.10114
-8.1346,37.10131
-8.13379,37.10145
-8.13274,37.10212
-8.13304,37.10221
-8.13305,37.10305
-8.13116,37.10136
-8.13049,37.10092
-8.13003,37.10173
-8.13207,37.10262
-8.13143,37.10353
-8.13347,37.10421
-8.1331,37.10374
-8.13313,37.1038
-8.13359,37.10432
-8.13318,37.10444
-8.13171,37.10383
-8.13161,37.10389
-8.13129,37.1036
-8.13131,37.10402
-8.1312,37.10366
-8.13067,37.104
-8.1306,37.10404
-8.1305,37.10408
-8.12379,37.09125
-8.12861,37.09849
-8.12788,37.09894
-8.12918,37.10013
-8.12866,37.09996
-8.12976,37.10028
-8.12946,37.10076
-8.12872,37.10049
-8.12825,37.09962
-8.12836,37.09984
-8.12763,37.10009
-8.12851,37.10036
-8.12933,37.10209
-8.12896,37.102
-8.1283,37.10145
-8.12811,37.10146
-8.12721,37.10151
-8.12721,37.10205
-8.12861,37.10227
-8.12845,37.10254
-8.12717,37.10236
-8.12769,37.10268
-8.12739,37.10301
-8.1271,37.10087
-8.12631,37.10251
-8.12375,37.10572
-8.1238,37.10599
-8.12355,37.1058
-8.12321,37.10594
-8.12317,37.10584
-8.12353,37.10618
-8.12338,37.10619
-8.12412,37.10684
-8.12406,37.1069
-8.11996,37.1085
-8.11996,37.10862
-8.12,37.1089
-8.11929,37.10902
-8.11846,37.11274
-8.11714,37.11253
-8.11723,37.11513
-8.67659,39.69529
-8.69653,39.70981
-8.69039,39.70597
-8.69054,39.70672
-8.69532,39.70956
-8.69304,39.7091
-8.693,39.70929
-8.6918,39.7078
-8.69039,39.70846
-8.69289,39.71003
-8.69097,39.70887
-8.69683,39.71031
-8.69586,39.71053
-8.69634,39.71186
-8.69887,39.71336
-8.6985,39.71356
-8.69852,39.71465
-8.69976,39.71515
-8.69897,39.71532
-8.69761,39.71312
-8.69839,39.71389
-8.69578,39.71378
-8.69811,39.71422
-8.69735,39.7144
-8.69682,39.71522
-8.69537,39.71155
-8.69292,39.71056
-8.69222,39.71361
-8.69201,39.71413
-8.69074,39.71418
-8.69016,39.70817
-8.68973,39.70935
-8.68964,39.70966
-8.68734,39.71161
-8.68925,39.71401
-8.68895,39.71416
-8.68746,39.71346
-8.68821,39.71394
-8.68799,39.71406
-8.68986,39.71533
-8.69903,39.71561
-8.69856,39.71737
-8.69946,39.71805
-8.69917,39.7183
-8.69704,39.71651
-8.6957,39.71676
-8.69748,39.71712
-8.69676,39.71751
-8.70081,39.71862
-8.70052,39.71939
-8.701,39.72062
-8.69569,39.72025
-8.69589,39.72054
-8.69524,39.71795
-8.69526,39.7182
-8.69327,39.71803
-8.69089,39.716
-8.69139,39.71684
-8.69059,39.71663
-8.69166,39.71699
-8.69289,39.71767
-8.69203,39.71768
-8.69093,39.717
-8.69067,39.71707
-8.69527,39.71883
-8.69541,39.71959
-8.6931,39.71861
-8.69513,39.7201
-8.69499,39.72061
-8.69652,39.72162
-8.69669,39.72182
-8.69576,39.72177
-8.6976,39.72266
-8.69584,39.72249
-8.7008,39.72587
-8.70033,39.72548
-8.70097,39.72601
-8.6953,39.72168
-8.6949,39.7217
-8.6951,39.72178
-8.69438,39.72233
-8.69387,39.722
-8.69561,39.72267
-8.69501,39.72268
-8.6944,39.72256
-8.68936,39.71606
-8.68758,39.71587
-8.68763,39.71606
-8.68822,39.71642
-8.68811,39.71692
-8.6876,39.71829
-8.65681,39.69122
-9.36298,38.71433
-9.36173,38.71458
-9.36256,38.71528
-9.3626,38.71573
-9.36195,38.71573
-9.36158,38.71488
-9.36118,38.71528
-9.36166,38.71574
-9.36058,38.71545
-9.36027,38.71512
-9.35974,38.71535
-9.35906,38.71533
-9.35948,38.71567
-9.36375,38.7169
-9.36332,38.71687
-9.36423,38.71746
-9.36333,38.71752
-9.36368,38.71762
-9.36294,38.71599
-9.36287,38.71699
-9.36113,38.71592
-9.36099,38.71621
-9.36098,38.71646
-9.36305,38.71729
-9.36198,38.71926
-9.36354,38.72305
-9.3627,38.72488
-9.36049,38.72487
-9.36071,38.72559
-9.36058,38.7258
-9.36167,38.72808
-9.36075,38.72789
-9.36193,38.72819
-9.36017,38.71635
-9.35962,38.71623
-9.36033,38.71667
-9.35931,38.71767
-9.35994,38.71843
-9.35919,38.71797
-9.35838,38.71737
-9.35983,38.71882
-9.35999,38.72572
-9.35978,38.7263
-9.35982,38.72644
-9.35988,38.72659
-9.3592,38.72614
-9.35936,38.72656
-9.35883,38.72651
-9.3589,38.72671
-9.35928,38.72716
-9.36026,38.72774
-9.35993,38.72785
-9.36,38.72796
-9.3595,38.72756
-9.34738,38.84742
-9.34393,38.84523
-9.3441,38.84645
-9.34388,38.84633
-9.34364,38.845
-9.34331,38.84585
-9.34328,38.84599
-9.34336,38.84626
-9.34259,38.84573
-9.34284,38.84613
-9.34373,38.84636
-9.34323,38.84629
-9.34333,38.84649
-9.34324,38.84648
-9.34354,38.84692
-9.34333,38.84672
-9.3433,38.84685
-9.34251,38.84636
-9.34291,38.84686
-9.34239,38.84632
-9.34229,38.84634
-9.34233,38.84655
-9.34201,38.84686
-9.34182,38.84682
-9.34164,38.84644
-9.34175,38.84646
-9.34169,38.84692
-9.34136,38.84674
-9.34043,38.84611
-9.341,38.84632
-9.34064,38.8465
-9.34045,38.84661
-9.34103,38.84696
-9.34055,38.84679
-9.3405,38.84695
-9.3408,38.847
-9.34063,38.84736
-9.34018,38.84712
-9.33997,38.84739
-9.33977,38.8476
-9.26174,38.84679
-9.26191,38.84726
-9.26117,38.84639
-9.2106,38.77981
-9.21105,38.78038
-9.21073,38.78076
-9.21065,38.7809
-9.21056,38.78104
-9.21023,38.78117
-9.21008,38.78112
-9.20768,38.78004
-9.20905,38.78133
-9.209,38.78162
-9.20893,38.78147
-9.20837,38.7811
-9.20686,38.78093
-9.20735,38.78115
-9.20747,38.78123
-9.20735,38.78126
-9.20665,38.78134
-9.20458,38.77774
-9.20603,38.78081
-9.20546,38.78082
-9.20524,38.78097
-9.20589,38.78163
-9.20573,38.78119
-9.20545,38.78121
-9.20958,38.78183
-9.20994,38.78315
-9.20936,38.78337
-9.20934,38.7838
-9.20894,38.78272
-9.20764,38.78225
-9.20925,38.78342
-9.20728,38.78397
-9.20697,38.78406
-9.21117,38.78872
-9.21077,38.78928
-9.21042,38.78903
-9.21444,38.79347
-9.20554,38.78191
-9.20568,38.78226
-9.20609,38.78244
-9.20626,38.78279
-9.20599,38.78291
-9.20606,38.78309
-9.20539,38.78417
-9.15217,38.76586
-9.41269,38.90306
-9.41239,38.90289
-9.41218,38.90318
-9.4119,38.90319
-9.41178,38.90326
-9.41073,38.90627
-9.41001,38.9071
-9.40999,38.9073
-9.41011,38.90781
-9.4071,38.90398
-9.40711,38.90418
-9.40733,38.90486
-9.40725,38.90489
-9.40637,38.90531
-9.40928,38.90643
-9.40882,38.90661
-9.40901,38.90714
-9.40898,38.90735
-9.40931,38.90763
-9.40951,38.90787
-9.40853,38.90769
-9.40821,38.90717
-9.40806,38.9073
-9.4074,38.90674
-9.4084,38.9077
-9.40818,38.90798
-9.40622,38.90538
-9.40603,38.90598
-9.40698,38.90775
-9.41324,38.9103
-9.41166,38.90914
-9.40983,38.9083
-9.41151,38.90965
-9.4113,38.90955
-9.41127,38.91039
-9.41086,38.91047
-9.41039,38.91026
-9.41041,38.91042
-9.40987,38.91065
-9.41437,38.91099
-9.41029,38.91129
-9.41039,38.9116
-9.40995,38.91175
-9.40988,38.91256
-9.40974,38.90861
-9.40852,38.90822
-9.31148,38.93597
-9.31155,38.93615
-9.31092,38.93622
-9.31226,38.93632
-9.31064,38.93594
-9.31057,38.93631
-9.31027,38.93648
-9.31047,38.93668
-9.30939,38.93707
-9.30912,38.93709
-9.30873,38.93702
-9.30862,38.93734
-9.30861,38.93757
-9.30991,38.93835
-9.30856,38.93878
-9.36805,39.03066
-9.36819,39.03234
-9.36785,39.03184
-9.36802,39.03388
-9.36822,39.03506
-9.36827,39.0352
-9.36817,39.03683
-9.36787,39.03719
-9.36743,39.03736
-9.36732,39.03744
-9.36776,39.03757
-9.3677,39.03782
-9.3673,39.03984
-9.36724,39.04049
-9.13002,38.71407
-9.1299,38.71407
-9.13005,38.71417
-9.12796,38.7129
-9.12761,38.71314
-8.11971,37.0841
-8.36891,37.10252
-8.36934,37.10272
-8.36927,37.10274
