zipcode,extractiondatetime,municipalitycode
4460-161,2024-10-24T17:10:00+00:00,1308
4460-668,2024-10-24T17:10:00+00:00,1308
4460-677,2024-10-24T17:10:00+00:00,1308
4460-707,2024-10-24T17:10:00+00:00,1308
4460-712,2024-10-24T17:10:00+00:00,1308
4460-746,2024-10-24T17:10:00+00:00,1308
4460-758,2024-10-24T17:10:00+00:00,1308
4460-759,2024-10-24T17:10:00+00:00,1308
4460-760,2024-10-24T17:10:00+00:00,1308
4460-841,2024-10-24T17:10:00+00:00,1308
4465-025,2024-10-24T17:10:00+00:00,1308
4465-553,2024-10-24T17:10:00+00:00,1308
4465-556,2024-10-24T17:10:00+00:00,1308
4465-572,2024-10-24T17:10:00+00:00,1308
4465-578,2024-10-24T17:10:00+00:00,1308
4465-579,2024-10-24T17:10:00+00:00,1308
4465-581,2024-10-24T17:10:00+00:00,1308
4465-592,2024-10-24T17:10:00+00:00,1308
4465-593,2024-10-24T17:10:00+00:00,1308
4465-594,2024-10-24T17:10:00+00:00,1308
4465-601,2024-10-24T17:10:00+00:00,1308
4465-621,2024-10-24T17:10:00+00:00,1308
4465-622,2024-10-24T17:10:00+00:00,1308
4465-635,2024-10-24T17:10:00+00:00,1308
4465-640,2024-10-24T17:10:00+00:00,1308
4465-647,2024-10-24T17:10:00+00:00,1308
4465-649,2024-10-24T17:10:00+00:00,1308
4465-650,2024-10-24T17:10:00+00:00,1308
4465-651,2024-10-24T17:10:00+00:00,1308
4465-652,2024-10-24T17:10:00+00:00,1308
4465-666,2024-10-24T17:10:00+00:00,1308
4465-669,2024-10-24T17:10:00+00:00,1308
4465-697,2024-10-24T17:10:00+00:00,1308
4465-698,2024-10-24T17:10:00+00:00,1308
4465-699,2024-10-24T17:10:00+00:00,1308
4465-738,2024-10-24T17:10:00+00:00,1308
